country,population,cases,deaths,todaydeaths,todayrecovered,recovered,infectedpercentage,deathpercentage,recoverypercentage
Turks and Caicos Islands,39741,6630,39,0,0,6576,16.68,0.59,99.19
UAE,10081785,1067030,2349,0,0,1054525,10.58,0.22,98.83
UK,68497907,24671491,228707,0,966,24428140,36.02,0.93,99.01
USA,334805269,107969972,1173394,0,0,105906752,32.25,1.09,98.09
Uganda,48432863,171729,3632,0,0,100431,0.35,2.11,58.48
Ukraine,43192122,5557995,112418,0,0,5445577,12.87,2.02,97.98
Uruguay,3496016,1038774,7634,0,0,1030944,29.71,0.73,99.25
Uzbekistan,34382084,253662,1637,0,0,241486,0.74,0.65,95.2
Vanuatu,321832,12019,14,0,0,11976,3.73,0.12,99.64
Venezuela,29266991,552695,5856,0,0,546537,1.89,1.06,98.89
Vietnam,98953541,11622730,43206,0,2,10640479,11.75,0.37,91.55
Wallis and Futuna,10982,3550,8,0,0,438,32.33,0.23,12.34
Western Sahara,626161,10,1,0,0,9,0.0,10.0,90.0
Yemen,31154867,11945,2159,0,0,9124,0.04,18.07,76.38
Zambia,19470234,349287,4069,0,0,341316,1.79,1.16,97.72
Zimbabwe,15331428,265716,5713,0,0,258888,1.73,2.15,97.43
